  [77 pezzi di testo · 75 spezzoni di audio · 17.3 car/s grezzi · pausa minima 0.18 s · 0 fuori fascia]

traccia A  221.20 s grezzi  ·  18 blocchi
  s02     0.00 ->   13.16  13.16s grezzi  ~ 18.1 car/s
  s03    13.16 ->   23.55  10.39s grezzi  ~ 20.8 car/s
  s04    23.55 ->   32.45   8.91s grezzi  ~ 18.7 car/s
  s05    32.45 ->   49.96  17.50s grezzi  ~ 14.4 car/s
  s06    49.96 ->   63.02  13.06s grezzi  ~ 19.0 car/s
  s07    63.02 ->   77.55  14.53s grezzi  ~ 15.8 car/s
  s08    77.55 ->   92.94  15.39s grezzi  ~ 16.0 car/s
  s09    92.94 ->  102.51   9.57s grezzi  ~ 19.6 car/s
  s10   102.51 ->  117.06  14.55s grezzi  ~ 17.9 car/s
  s11   117.06 ->  128.18  11.11s grezzi  ~ 18.4 car/s
  s12   128.18 ->  141.58  13.40s grezzi  ~ 15.7 car/s
  s13   141.58 ->  152.61  11.04s grezzi  ~ 18.3 car/s
  s14   152.61 ->  166.08  13.46s grezzi  ~ 19.7 car/s
  s15   166.08 ->  178.47  12.39s grezzi  ~ 19.2 car/s
  s16   178.47 ->  188.23   9.76s grezzi  ~ 20.6 car/s
  s17   188.23 ->  203.67  15.45s grezzi  ~ 16.8 car/s
  s18   203.67 ->  214.95  11.28s grezzi  ~ 19.1 car/s
  s19   214.95 ->  221.20   6.25s grezzi  ~ 17.1 car/s
  [104 pezzi di testo · 110 spezzoni di audio · 16.3 car/s grezzi · pausa minima 0.18 s · 0 fuori fascia]

traccia B  340.24 s grezzi  ·  27 blocchi
  s20     0.00 ->   13.47  13.47s grezzi  ~ 14.7 car/s
  s21    13.47 ->   26.20  12.73s grezzi  ~ 19.1 car/s
  s22    26.20 ->   40.76  14.56s grezzi  ~ 17.1 car/s
  s23    40.76 ->   55.94  15.18s grezzi  ~ 16.6 car/s
  s24    55.94 ->   71.62  15.68s grezzi  ~ 18.3 car/s
  s25    71.62 ->   84.56  12.94s grezzi  ~ 17.8 car/s
  s26    84.56 ->   94.91  10.35s grezzi  ~ 19.2 car/s
  s27    94.91 ->  107.83  12.92s grezzi  ~ 16.1 car/s
  s28   107.83 ->  121.88  14.05s grezzi  ~ 16.6 car/s
  s29   121.88 ->  129.93   8.04s grezzi  ~ 16.2 car/s
  s30   129.93 ->  140.79  10.87s grezzi  ~ 18.3 car/s
  s31   140.79 ->  153.79  12.99s grezzi  ~ 17.4 car/s
  s32   153.79 ->  167.55  13.77s grezzi  ~ 18.4 car/s
  s33   167.55 ->  177.93  10.37s grezzi  ~ 18.8 car/s
  s34   177.93 ->  189.53  11.60s grezzi  ~ 19.4 car/s
  s35   189.53 ->  202.83  13.30s grezzi  ~ 17.5 car/s
  s36   202.83 ->  212.25   9.42s grezzi  ~ 17.5 car/s
  s37   212.25 ->  226.11  13.86s grezzi  ~ 17.4 car/s
  s38   226.11 ->  236.25  10.14s grezzi  ~ 19.0 car/s
  s39   236.25 ->  250.97  14.72s grezzi  ~ 15.8 car/s
  s40   250.97 ->  263.62  12.64s grezzi  ~ 18.0 car/s
  s41   263.62 ->  278.02  14.41s grezzi  ~ 16.2 car/s
  s42   278.02 ->  290.64  12.62s grezzi  ~ 17.1 car/s
  s43   290.64 ->  302.18  11.54s grezzi  ~ 18.5 car/s
  s44   302.18 ->  316.50  14.32s grezzi  ~ 16.3 car/s
  s45   316.50 ->  326.65  10.15s grezzi  ~ 17.7 car/s
  s46   326.65 ->  340.24  13.59s grezzi  ~ 16.9 car/s

fuori fascia: 0
prova.mp3: 43 spezzoni, 176.3 s — 1,6 s prima di ogni taglio, separati da 2.5 s di silenzio
