  [124 pezzi di testo · 122 spezzoni di audio · 17.1 car/s grezzi · pausa minima 0.18 s · 0 fuori fascia]

traccia A  323.76 s grezzi  ·  28 blocchi
  s02     0.00 ->   16.35  16.35s grezzi  ~ 16.9 car/s
  s03    16.35 ->   30.01  13.66s grezzi  ~ 16.8 car/s
  s04    30.01 ->   37.07   7.06s grezzi  ~ 14.0 car/s
  s05    37.07 ->   52.21  15.14s grezzi  ~ 16.2 car/s
  s06    52.21 ->   64.56  12.35s grezzi  ~ 17.6 car/s
  s07    64.56 ->   75.38  10.82s grezzi  ~ 19.3 car/s
  s08    75.38 ->   88.78  13.40s grezzi  ~ 18.2 car/s
  s09    88.78 ->   99.71  10.92s grezzi  ~ 16.7 car/s
  s10    99.71 ->  109.94  10.24s grezzi  ~ 20.1 car/s
  s11   109.94 ->  121.23  11.29s grezzi  ~ 15.4 car/s
  s12   121.23 ->  133.31  12.08s grezzi  ~ 18.0 car/s
  s13   133.31 ->  147.12  13.81s grezzi  ~ 16.4 car/s
  s14   147.12 ->  161.02  13.90s grezzi  ~ 17.5 car/s
  s15   161.02 ->  171.28  10.26s grezzi  ~ 15.8 car/s
  s16   171.28 ->  176.68   5.40s grezzi  ~ 14.0 car/s
  s17   176.68 ->  188.13  11.44s grezzi  ~ 19.0 car/s
  s18   188.13 ->  199.42  11.29s grezzi  ~ 18.4 car/s
  s19   199.42 ->  215.52  16.10s grezzi  ~ 15.3 car/s
  s20   215.52 ->  225.68  10.16s grezzi  ~ 18.9 car/s
  s21   225.68 ->  239.18  13.51s grezzi  ~ 17.3 car/s
  s22   239.18 ->  250.86  11.68s grezzi  ~ 18.7 car/s
  s23   250.86 ->  262.01  11.15s grezzi  ~ 17.8 car/s
  s24   262.01 ->  272.28  10.27s grezzi  ~ 18.5 car/s
  s25   272.28 ->  281.84   9.55s grezzi  ~ 18.4 car/s
  s26   281.84 ->  294.55  12.71s grezzi  ~ 18.1 car/s
  s27   294.55 ->  304.34   9.80s grezzi  ~ 18.7 car/s
  s28   304.34 ->  316.88  12.54s grezzi  ~ 17.1 car/s
  s29   316.88 ->  323.76   6.88s grezzi  ~ 11.9 car/s
  [90 pezzi di testo · 86 spezzoni di audio · 16.3 car/s grezzi · pausa minima 0.18 s · 0 fuori fascia]

traccia B  242.24 s grezzi  ·  20 blocchi
  s30     0.00 ->    8.55   8.55s grezzi  ~ 16.3 car/s
  s31     8.55 ->   21.67  13.11s grezzi  ~ 18.9 car/s
  s32    21.67 ->   30.37   8.70s grezzi  ~ 17.5 car/s
  s33    30.37 ->   43.71  13.34s grezzi  ~ 17.2 car/s
  s34    43.71 ->   58.39  14.68s grezzi  ~ 16.4 car/s
  s35    58.39 ->   64.29   5.90s grezzi  ~ 13.4 car/s
  s36    64.29 ->   75.59  11.30s grezzi  ~ 17.3 car/s
  s37    75.59 ->   86.65  11.06s grezzi  ~ 17.3 car/s
  s38    86.65 ->  101.36  14.70s grezzi  ~ 15.5 car/s
  s39   101.36 ->  115.83  14.48s grezzi  ~ 17.1 car/s
  s40   115.83 ->  130.81  14.97s grezzi  ~ 16.6 car/s
  s41   130.81 ->  145.32  14.51s grezzi  ~ 14.9 car/s
  s42   145.32 ->  156.14  10.82s grezzi  ~ 16.2 car/s
  s43   156.14 ->  168.32  12.17s grezzi  ~ 14.8 car/s
  s44   168.32 ->  172.87   4.55s grezzi  ~ 12.0 car/s
  s45   172.87 ->  189.12  16.25s grezzi  ~ 14.9 car/s
  s46   189.12 ->  204.24  15.12s grezzi  ~ 15.9 car/s
  s47   204.24 ->  215.98  11.74s grezzi  ~ 17.4 car/s
  s48   215.98 ->  226.30  10.32s grezzi  ~ 17.3 car/s
  s49   226.30 ->  242.24  15.94s grezzi  ~ 16.8 car/s

fuori fascia: 0
prova.mp3: 46 spezzoni, 188.6 s — 1,6 s prima di ogni taglio, separati da 2.5 s di silenzio
