  [112 pezzi di testo · 106 spezzoni di audio · 15.4 car/s grezzi · pausa minima 0.18 s · 0 fuori fascia]

traccia A  286.40 s grezzi  ·  23 blocchi
  s02     0.00 ->   15.53  15.53s grezzi  ~ 15.1 car/s
  s03    15.53 ->   29.56  14.02s grezzi  ~ 15.9 car/s
  s04    29.56 ->   33.45   3.90s grezzi  ~ 13.3 car/s
  s05    33.45 ->   49.67  16.21s grezzi  ~ 15.7 car/s
  s06    49.67 ->   64.86  15.20s grezzi  ~ 12.1 car/s
  s07    64.86 ->   79.37  14.51s grezzi  ~ 15.8 car/s
  s08    79.37 ->   92.07  12.70s grezzi  ~ 18.6 car/s
  s09    92.07 ->  106.85  14.78s grezzi  ~ 15.7 car/s
  s10   106.85 ->  119.82  12.97s grezzi  ~ 16.8 car/s
  s11   119.82 ->  133.76  13.94s grezzi  ~ 17.2 car/s
  s12   133.76 ->  145.78  12.02s grezzi  ~ 16.5 car/s
  s13   145.78 ->  158.67  12.89s grezzi  ~ 17.6 car/s
  s14   158.67 ->  162.68   4.01s grezzi  ~ 17.5 car/s
  s15   162.68 ->  180.17  17.49s grezzi  ~ 14.2 car/s
  s16   180.17 ->  192.22  12.05s grezzi  ~ 17.8 car/s
  s17   192.22 ->  203.79  11.57s grezzi  ~ 18.7 car/s
  s18   203.79 ->  216.43  12.65s grezzi  ~ 16.3 car/s
  s19   216.43 ->  227.76  11.33s grezzi  ~ 16.9 car/s
  s20   227.76 ->  241.38  13.62s grezzi  ~ 15.7 car/s
  s21   241.38 ->  255.80  14.42s grezzi  ~ 16.4 car/s
  s22   255.80 ->  268.27  12.47s grezzi  ~ 19.1 car/s
  s23   268.27 ->  281.89  13.62s grezzi  ~ 17.7 car/s
  s24   281.89 ->  286.40   4.51s grezzi  ~ 14.4 car/s
  [103 pezzi di testo · 98 spezzoni di audio · 15.7 car/s grezzi · pausa minima 0.18 s · 0 fuori fascia]

traccia B  311.36 s grezzi  ·  22 blocchi
  s25     0.00 ->   15.14  15.14s grezzi  ~ 18.7 car/s
  s26    15.14 ->   29.96  14.82s grezzi  ~ 13.4 car/s
  s27    29.96 ->   43.05  13.09s grezzi  ~ 16.3 car/s
  s28    43.05 ->   59.35  16.30s grezzi  ~ 16.1 car/s
  s29    59.35 ->   72.13  12.77s grezzi  ~ 16.2 car/s
  s30    72.13 ->   87.74  15.61s grezzi  ~ 14.2 car/s
  s31    87.74 ->  100.73  12.99s grezzi  ~ 17.0 car/s
  s32   100.73 ->  113.86  13.13s grezzi  ~ 16.8 car/s
  s33   113.86 ->  125.85  11.99s grezzi  ~ 17.1 car/s
  s34   125.85 ->  138.87  13.02s grezzi  ~ 16.0 car/s
  s35   138.87 ->  153.53  14.66s grezzi  ~ 16.2 car/s
  s36   153.53 ->  167.30  13.77s grezzi  ~ 18.6 car/s
  s37   167.30 ->  174.41   7.11s grezzi  ~ 17.5 car/s
  s38   174.41 ->  192.48  18.07s grezzi  ~ 13.8 car/s
  s39   192.48 ->  208.02  15.54s grezzi  ~ 17.2 car/s
  s40   208.02 ->  221.72  13.70s grezzi  ~ 17.2 car/s
  s41   221.72 ->  230.50   8.78s grezzi  ~ 14.7 car/s
  s42   230.50 ->  247.08  16.58s grezzi  ~ 15.4 car/s
  s43   247.08 ->  265.23  18.14s grezzi  ~ 15.0 car/s
  s44   265.23 ->  282.31  17.08s grezzi  ~ 13.4 car/s
  s45   282.31 ->  295.36  13.05s grezzi  ~ 16.3 car/s
  s46   295.36 ->  311.36  16.00s grezzi  ~ 16.5 car/s

fuori fascia: 0
prova.mp3: 43 spezzoni, 176.3 s — 1,6 s prima di ogni taglio, separati da 2.5 s di silenzio
