  [96 pezzi di testo · 105 spezzoni di audio · 16.8 car/s grezzi · pausa minima 0.18 s · 0 fuori fascia]

traccia A  276.56 s grezzi  ·  24 blocchi
  s02     0.00 ->   12.73  12.73s grezzi  ~ 20.1 car/s
  s03    12.73 ->   26.31  13.58s grezzi  ~ 17.7 car/s
  s04    26.31 ->   31.55   5.24s grezzi  ~ 11.9 car/s
  s05    31.55 ->   45.76  14.22s grezzi  ~ 16.5 car/s
  s06    45.76 ->   59.42  13.66s grezzi  ~ 15.0 car/s
  s07    59.42 ->   70.35  10.93s grezzi  ~ 18.1 car/s
  s08    70.35 ->   83.08  12.74s grezzi  ~ 18.2 car/s
  s09    83.08 ->   95.28  12.19s grezzi  ~ 17.5 car/s
  s10    95.28 ->  110.12  14.84s grezzi  ~ 17.2 car/s
  s11   110.12 ->  122.25  12.13s grezzi  ~ 16.3 car/s
  s12   122.25 ->  136.26  14.01s grezzi  ~ 17.3 car/s
  s13   136.26 ->  142.05   5.79s grezzi  ~ 15.0 car/s
  s14   142.05 ->  156.35  14.31s grezzi  ~ 16.4 car/s
  s15   156.35 ->  168.95  12.60s grezzi  ~ 19.8 car/s
  s16   168.95 ->  180.34  11.39s grezzi  ~ 19.0 car/s
  s17   180.34 ->  189.86   9.52s grezzi  ~ 17.6 car/s
  s18   189.86 ->  198.92   9.05s grezzi  ~ 19.8 car/s
  s19   198.92 ->  209.85  10.93s grezzi  ~ 19.9 car/s
  s20   209.85 ->  221.68  11.84s grezzi  ~ 18.3 car/s
  s21   221.68 ->  234.51  12.82s grezzi  ~ 17.6 car/s
  s22   234.51 ->  246.93  12.43s grezzi  ~ 18.2 car/s
  s23   246.93 ->  259.79  12.86s grezzi  ~ 19.0 car/s
  s24   259.79 ->  270.48  10.69s grezzi  ~ 17.8 car/s
  s25   270.48 ->  276.56   6.08s grezzi  ~ 14.7 car/s
  [96 pezzi di testo · 93 spezzoni di audio · 15.4 car/s grezzi · pausa minima 0.22 s · 0 fuori fascia]

traccia B  302.80 s grezzi  ·  23 blocchi
  s26     0.00 ->   14.13  14.13s grezzi  ~ 15.5 car/s
  s27    14.13 ->   26.96  12.82s grezzi  ~ 16.0 car/s
  s28    26.96 ->   41.51  14.55s grezzi  ~ 14.8 car/s
  s29    41.51 ->   55.14  13.63s grezzi  ~ 16.1 car/s
  s30    55.14 ->   68.25  13.12s grezzi  ~ 17.4 car/s
  s31    68.25 ->   80.05  11.79s grezzi  ~ 15.9 car/s
  s32    80.05 ->   95.59  15.54s grezzi  ~ 15.1 car/s
  s33    95.59 ->  108.47  12.88s grezzi  ~ 16.8 car/s
  s34   108.47 ->  121.18  12.71s grezzi  ~ 16.7 car/s
  s35   121.18 ->  125.99   4.80s grezzi  ~ 13.5 car/s
  s36   125.99 ->  138.86  12.88s grezzi  ~ 17.3 car/s
  s37   138.86 ->  152.38  13.52s grezzi  ~ 16.6 car/s
  s38   152.38 ->  164.94  12.56s grezzi  ~ 18.2 car/s
  s39   164.94 ->  178.51  13.57s grezzi  ~ 15.0 car/s
  s40   178.51 ->  193.59  15.08s grezzi  ~ 16.7 car/s
  s41   193.59 ->  209.34  15.75s grezzi  ~ 15.2 car/s
  s42   209.34 ->  224.24  14.90s grezzi  ~ 16.4 car/s
  s43   224.24 ->  236.80  12.56s grezzi  ~ 18.3 car/s
  s44   236.80 ->  249.77  12.97s grezzi  ~ 15.4 car/s
  s45   249.77 ->  264.85  15.08s grezzi  ~ 14.2 car/s
  s46   264.85 ->  277.28  12.43s grezzi  ~ 16.7 car/s
  s47   277.28 ->  290.82  13.54s grezzi  ~ 16.0 car/s
  s48   290.82 ->  302.80  11.98s grezzi  ~ 17.1 car/s

fuori fascia: 0
prova.mp3: 45 spezzoni, 184.5 s — 1,6 s prima di ogni taglio, separati da 2.5 s di silenzio
